468	so fa mi
355	mi fa so
353	fa mi do
344	do ti do
302	la ti do
289	so fa me
277	la so fa
261	do ti la
240	le so fa
230	do mi fa
226	fa me do
223	so la ti
221	ti la so
210	so la so
202	ti do mi
200	fa so la
197	so mi do
189	mi do ti
184	do mi so
184	mi fa mi
184	ti do do
180	do do do
177	me fa so
175	fa mi fa
173	do do ti
172	mi do mi
169	mi do do
169	fa mi mi
155	ti do so
152	do so do
149	mi do so
145	do do mi
145	mi mi fa
144	do mi do
140	so fi so
137	so le so
135	fa so fa
130	so fa so
128	so so so
127	do me fa
127	me do ti
126	te le so
124	so mi fa
124	so me do
121	so do mi
118	fa so le
117	so so fa
117	do so so
116	la so mi
115	so do do
113	do me do
110	do do so
106	do so mi
106	so do ti
104	mi mi do
102	do ti so
101	me do do
101	fa me me
100	ti do ti
98	ti do me
97	do te le
95	mi so do
93	fa so do
91	la so la
89	so do me
89	do mi mi
89	do me so
88	so do so
85	me do so
85	me fa me
84	so so la
84	do do me
81	mi so fa
80	me me do
79	me do me
77	fa so so
76	fa me fa
73	fa mi so
73	mi do la
72	fa so mi
71	me me fa
69	la so so
69	do so fa
69	do la so
67	la so do
65	so so do
65	fa le so
65	mi so la
64	do so la
62	do so me
60	so mi so
60	fa ti do
60	fi so la
59	la so fi
59	do le so
59	mi so mi
58	so mi mi
58	ti la ti
58	mi mi mi
57	fa la so
57	do fa mi
56	so ti do
56	mi fa la
54	so so mi
53	so la do
53	me do le
52	mi so so
52	do me me
51	mi mi so
50	le so do
50	me so fa
49	so le te
48	le so me
48	fa do ti
48	me so do
47	so le fa
47	do do te
47	fa fa mi
47	me do te
45	la si la
45	fi so mi
45	fa me so
45	te la so
45	so la fa
45	la do ti
44	mi fa do
44	la fa mi
43	mi do fa
43	fa fi so
42	ti do la
42	fi so so
42	fa so me
42	ti do fa
42	so fa fa
41	do la do
41	ti so fa
40	so do te
39	mi fa ti
39	fi so do
39	la la so
38	si la ti
38	so so le
38	fa ti so
38	ti so do
38	me do fa
38	mi la so
37	so fa do
37	do te la
37	la ti so
37	le so le
36	le so fi
36	le fa me
35	mi fi so
35	ti so la
34	so do la
34	le te le
34	so me fa
34	fa fa so
34	le so so
34	la fi so
33	ti so so
33	do do la
33	la mi fa
33	so so me
33	do fa me
32	me ti do
32	la do mi
32	so do fa
32	fi so fa
32	mi fa fi
31	do la fa
31	la ti la
31	do fi so
31	do la la
